pid,dim,adcon,tv,rating,age,agecat,dprime
6706213,car,addressable,choice,0,58,55+,0.685205419
6706213,cruise,non-address,choice,1,58,55+,1.249637713
6706213,dog,non-address,choice,-1.5,58,55+,1.249637713
6706213,games,addressable,choice,3.75,58,55+,1.556877364
6706232,car,addressable,random,1.5,50,35.54,1.593218818
6706232,cruise,non-address,random,4.25,50,35.54,0.589455798
6706232,dog,addressable,random,3,50,35.54,0.307239651
6706232,games,non-address,random,-4.5,50,35.54,0.282216147
6706251,car,addressable,choice,-1.25,61,55+,0.589455798
6706251,cruise,addressable,choice,4.25,61,55+,1.178911596
6706251,dog,non-address,choice,-5,61,55+,0.967421566
6706251,games,non-address,choice,-7.75,61,55+,0.685205419
6706258,car,non-address,choice,3.75,43,35.54,-0.564432294
6706258,cruise,addressable,choice,6.5,43,35.54,0.967421566
6706258,dog,non-address,choice,6.75,43,35.54,1.178911596
6706258,games,addressable,choice,5.25,43,35.54,-0.282216147
6706268,car,addressable,choice,9.5,28,18_34,0
6706268,cruise,addressable,choice,6.5,28,18_34,0.377965768
6706268,dog,non-address,choice,7.25,28,18_34,-0.625797252
6706268,games,non-address,choice,0.5,28,18_34,1.00376302
6706317,car,non-address,random,0,37,35.54,0
6706317,cruise,addressable,random,-0.5,37,35.54,-0.967421566
6706317,dog,non-address,random,-1.75,37,35.54,-0.625797252
6706317,games,addressable,random,7.75,37,35.54,0.589455798
6706318,car,addressable,choice,2,21,18_34,0.871671945
6706318,cruise,non-address,choice,7.25,21,18_34,1.249637713
6706318,dog,addressable,choice,0.5,21,18_34,-0.282216147
6706318,games,non-address,choice,-1.25,21,18_34,0.564432294
6706326,car,addressable,choice,1.5,26,18_34,1.311002671
6706326,cruise,non-address,choice,2,26,18_34,0.307239651
6706326,dog,addressable,choice,1,26,18_34,0
6706326,games,non-address,choice,-2.25,26,18_34,0.625797252
6706455,car,non-address,random,-2.75,40,35.54,0.589455798
6706455,cruise,non-address,random,-9.75,40,35.54,0
6706455,dog,addressable,random,1.25,40,35.54,1.249637713
6706455,games,addressable,random,-1.75,40,35.54,0.871671945
6706464,car,addressable,random,-2,38,35.54,2.560640384
6706464,cruise,non-address,random,-9,38,35.54,0
6706464,dog,non-address,random,-5,38,35.54,1.593218818
6706464,games,addressable,random,0.25,38,35.54,1.249637713
6706481,car,addressable,choice,4,37,35.54,1.249637713
6706481,cruise,addressable,choice,1.25,37,35.54,0.282216147
6706481,dog,non-address,choice,7.75,37,35.54,2.182674616
6706481,games,non-address,choice,-2.25,37,35.54,0.589455798
6706522,car,non-address,choice,1.25,36,35.54,1.00376302
6706522,cruise,addressable,choice,0.5,36,35.54,0
6706522,dog,non-address,choice,-3.75,36,35.54,-0.967421566
